yearID,franchID,lgID,divID,parkID,lgIDST,parkIDST,teamName,location,nickname,teamAbrFG,teamAbrBR,teamAbrLahman,teamAbrLahman45,teamAbrRetro,teamAbrMLB,teamCodeMLB
1881,2,NL,,CHI03,,,Chicago White Stockings,Chicago,White Stockings,CHI,CHC,CHN,CHN,CHN,CHI,chn
1881,58,NL,,PRO02,,,Providence Grays,Providence,Grays,PRO,PRO,PRO,PRO,PRO,PRO,pro
1881,59,NL,,BUF01,,,Buffalo Bisons,Buffalo,Bisons,BUF,BUF,BFN,BFN,BFN,BUF,bfn
1881,60,NL,,CLE02,,,Cleveland Blues,Cleveland,Blues,CLE,CLV,CL2,CL2,CL2,CLE,cl2
1881,62,NL,,TRO01,,,Troy Trojans,Troy,Trojans,TRO,TRO,TRN,TRN,TRN,TRO,trn
1881,63,NL,,WOR01,,,Worcester Ruby Legs,Worcester,Ruby Legs,WOR,WOR,WOR,WOR,WOR,WOR,wrc
1881,65,NL,,DET01,,,Detroit Wolverines,Detroit,Wolverines,DET,DTN,DTN,DTN,DTN,DET,dtn
1882,1,NL,,BOS01,,,Boston Red Caps,Boston,Red Caps,BSN,BSN,BSN,BSN,BSN,BSN,bsn
1882,2,NL,,CHI03,,,Chicago White Stockings,Chicago,White Stockings,CHI,CHC,CHN,CHN,CHN,CHI,chn
1882,3,AA,,CIN03,,,Cincinnati Red Stockings,Cincinnati,Red Stockings,CIN,CIN,CN2,CN2,CN2,CIN,cn2
1882,4,AA,,PIT02,,,Pittsburgh Alleghenys,Pittsburgh,Alleghenys,PIT,PIT,PT1,PT1,PT1,PIT,pt1
1882,5,AA,,STL03,,,St. Louis Brown Stockings,St. Louis,Brown Stockings,STL,STL,SL4,SL4,SL4,STL,sl6
1882,58,NL,,PRO02,,,Providence Grays,Providence,Grays,PRO,PRO,PRO,PRO,PRO,PRO,pro
1882,59,NL,,BUF01,,,Buffalo Bisons,Buffalo,Bisons,BUF,BUF,BFN,BFN,BFN,BUF,bfn
1882,60,NL,,CLE02,,,Cleveland Blues,Cleveland,Blues,CLE,CLV,CL2,CL2,CL2,CLE,cl2
1882,62,NL,,WAT01,,,Troy Trojans,Troy,Trojans,TRO,TRO,TRN,TRN,TRN,TRO,trn
1882,63,NL,,WOR01,,,Worcester Ruby Legs,Worcester,Ruby Legs,WOR,WOR,WOR,WOR,WOR,WOR,wrc
1882,65,NL,,DET01,,,Detroit Wolverines,Detroit,Wolverines,DET,DTN,DTN,DTN,DTN,DET,dtn
1882,66,AA,,BAL02,,,Baltimore Orioles,Baltimore,Orioles,BAL,BAL,BL2,BL2,BL2,BAL,bl2
1882,67,AA,,LOU02,,,Louisville Eclipse,Louisville,Eclipse,LOU,LOU,LS2,LS2,LS2,LOU,ls2
1882,68,AA,,PHI03,,,Philadelphia Athletics,Philadelphia,Athletics,PHA,PHA,PH4,PH4,PH4,PHA,ph4
1883,1,NL,,BOS01,,,Boston Beaneaters,Boston,Beaneaters,BSN,BSN,BSN,BSN,BSN,BSN,bsn
1883,2,NL,,CHI03,,,Chicago White Stockings,Chicago,White Stockings,CHI,CHC,CHN,CHN,CHN,CHI,chn
1883,3,AA,,CIN03,,,Cincinnati Red Stockings,Cincinnati,Red Stockings,CIN,CIN,CN2,CN2,CN2,CIN,cn2
1883,4,AA,,PIT02,,,Pittsburgh Alleghenys,Pittsburgh,Alleghenys,PIT,PIT,PT1,PT1,PT1,PIT,pt1
1883,5,AA,,STL03,,,St. Louis Browns,St. Louis,Browns,STL,STL,SL4,SL4,SL4,STL,sl6
1883,6,NL,,PHI04,,,Philadelphia Phillies,Philadelphia,Phillies,PHI,PHI,PHI,PHI,PHI,PHI,phi
1883,7,NL,,NYC03,,,New York Gothams,New York,Gothams,NYG,NYG,NY1,NY1,NY1,NYG,ny0
1883,58,NL,,PRO02,,,Providence Grays,Providence,Grays,PRO,PRO,PRO,PRO,PRO,PRO,pro
1883,59,NL,,BUF01,,,Buffalo Bisons,Buffalo,Bisons,BUF,BUF,BFN,BFN,BFN,BUF,bfn
1883,60,NL,,CLE02,,,Cleveland Blues,Cleveland,Blues,CLE,CLV,CL2,CL2,CL2,CLE,cl2
1883,65,NL,,DET01,,,Detroit Wolverines,Detroit,Wolverines,DET,DTN,DTN,DTN,DTN,DET,dtn
1883,66,AA,,BAL03,,,Baltimore Orioles,Baltimore,Orioles,BAL,BAL,BL2,BL2,BL2,BAL,bl2
1883,67,AA,,LOU02,,,Louisville Eclipse,Louisville,Eclipse,LOU,LOU,LS2,LS2,LS2,LOU,ls2
1883,68,AA,,PHI01,,,Philadelphia Athletics,Philadelphia,Athletics,PHA,PHA,PH4,PH4,PH4,PHA,ph4
1883,69,AA,,COL01,,,Columbus Buckeyes,Columbus,Buckeyes,COL,COL,CL5,CL5,CL5,COL,cl5
1883,70,AA,,NYC03,,,New York Metropolitans,New York,Metropolitans,NYM,NYP,NY4,NY4,NY4,NYM,ny4
1884,1,NL,,BOS01,,,Boston Beaneaters,Boston,Beaneaters,BSN,BSN,BSN,BSN,BSN,BSN,bsn
1884,2,NL,,CHI03,,,Chicago White Stockings,Chicago,White Stockings,CHI,CHC,CHN,CHN,CHN,CHI,chn
1884,3,AA,,CIN04,,,Cincinnati Red Stockings,Cincinnati,Red Stockings,CIN,CIN,CN2,CN2,CN2,CIN,cn2
1884,4,AA,,PIT04,,,Pittsburgh Alleghenys,Pittsburgh,Alleghenys,PIT,PIT,PT1,PT1,PT1,PIT,pt1
1884,5,AA,,STL03,,,St. Louis Browns,St. Louis,Browns,STL,STL,SL4,SL4,SL4,STL,sl6
1884,6,NL,,PHI04,,,Philadelphia Phillies,Philadelphia,Phillies,PHI,PHI,PHI,PHI,PHI,PHI,phi
1884,7,NL,,NYC03,,,New York Gothams,New York,Gothams,NYG,NYG,NY1,NY1,NY1,NYG,ny0
1884,8,AA,,NYC05,,,Brooklyn Atlantics,Brooklyn,Atlantics,BRO,BRO,BR3,BR3,BR3,BRO,br3
1884,58,NL,,PRO02,,,Providence Grays,Providence,Grays,PRO,PRO,PRO,PRO,PRO,PRO,pro
1884,59,NL,,BUF02,,,Buffalo Bisons,Buffalo,Bisons,BUF,BUF,BFN,BFN,BFN,BUF,bfn
1884,60,NL,,CLE02,,,Cleveland Blues,Cleveland,Blues,CLE,CLV,CL2,CL2,CL2,CLE,cl2
1884,65,NL,,DET01,,,Detroit Wolverines,Detroit,Wolverines,DET,DTN,DTN,DTN,DTN,DET,dtn
1884,66,AA,,BAL03,,,Baltimore Orioles,Baltimore,Orioles,BAL,BAL,BL2,BL2,BL2,BAL,bl2
1884,67,AA,,LOU02,,,Louisville Eclipse,Louisville,Eclipse,LOU,LOU,LS2,LS2,LS2,LOU,ls2
1884,68,AA,,PHI01,,,Philadelphia Athletics,Philadelphia,Athletics,PHA,PHA,PH4,PH4,PH4,PHA,ph4
1884,69,AA,,COL01,,,Columbus Buckeyes,Columbus,Buckeyes,COL,COL,CL5,CL5,CL5,COL,cl5
1884,70,AA,,NYC06,,,New York Metropolitans,New York,Metropolitans,NYM,NYP,NY4,NY4,NY4,NYM,ny4
1884,71,UA,,ALT01,,,Altoona Mountain City,Altoona,Mountain City,ALT,ALT,ALT,ALT,ALT,ALT,alt
1884,72,UA,,BAL04,,,Baltimore Monumentals,Baltimore,Monumentals,BAL,BLU,BLU,BLU,BLU,BAL,blu
1884,73,UA,,BOS02,,,Boston Reds,Boston,Reds,BSU,BOS,BSU,BSU,BSU,BSU,bsu
1884,74,UA,,CIN03,,,Cincinnati Outlaw Reds,Cincinnati,Outlaw Reds,COR,COR,CNU,CNU,CNU,COR,cnu
1884,75,UA,,CHI05,,,Chicago Browns/Pittsburgh Stogies,Chicago/Pittsburgh,Browns/Stogies,CUN,CPI,CHU,CHU,CHU,CUN,chu
1884,76,AA,,IND02,,,Indianapolis Hoosiers,Indianapolis,Hoosiers,IND,IND,IN2,IN2,IN2,IND,in2
1884,77,UA,,KAN01,,,Kansas City Cowboys,Kansas City,Cowboys,KCC,KCC,KCU,KCU,KCU,KC,kcu
1884,78,UA,,MIL02,,,Milwaukee Brewers,Milwaukee,Brewers,MIL,MIL,MLU,MLU,MLU,MIL,mlu
1884,79,UA,,PHI05,,,Philadelphia Keystones,Philadelphia,Keystones,PHK,PHK,PHU,PHU,PHU,PHK,phu
1884,80,AA,,RIC02,,,Richmond Virginians,Richmond,Virginians,RIC,RIC,RIC,RIC,RIC,RIC,ric
1884,81,UA,,STL04,,,St. Louis Maroons,St. Louis,Maroons,STL,SLM,SLU,SLU,SLU,STL,slu
1884,82,UA,,,,,St. Paul Saints,St. Paul,Saints,SPS,STP,SPU,SPU,SPU,SPS,spu
1884,83,AA,,TOL01,,,Toledo Blue Stockings,Toledo,Blue Stockings,TOL,TOL,TL1,TL1,TL1,TOL,tl1
1884,84,UA,,WIL01,,,Wilmington Quicksteps,Wilmington,Quicksteps,WIL,WIL,WIL,WIL,WIL,WIL,wil
1884,85,AA,,WAS04,,,Washington Nationals,Washington,Nationals,WST,WAS,WS7,WS7,WS7,WSN,ws7
1884,86,UA,,WAS03,,,Washington Nationals,Washington,Nationals,WSN,WHS,WSU,WSU,WSU,WST,wsu
1885,1,NL,,BOS01,,,Boston Beaneaters,Boston,Beaneaters,BSN,BSN,BSN,BSN,BSN,BSN,bsn
1885,2,NL,,CHI06,,,Chicago White Stockings,Chicago,White Stockings,CHI,CHC,CHN,CHN,CHN,CHI,chn
1885,3,AA,,CIN04,,,Cincinnati Red Stockings,Cincinnati,Red Stockings,CIN,CIN,CN2,CN2,CN2,CIN,cn2
1885,4,AA,,PIT04,,,Pittsburgh Alleghenys,Pittsburgh,Alleghenys,PIT,PIT,PT1,PT1,PT1,PIT,pt1
1885,5,AA,,STL03,,,St. Louis Browns,St. Louis,Browns,STL,STL,SL4,SL4,SL4,STL,sl6
1885,6,NL,,PHI04,,,Philadelphia Phillies,Philadelphia,Phillies,PHI,PHI,PHI,PHI,PHI,PHI,phi
1885,7,NL,,NYC03,,,New York Giants,New York,Giants,NYG,NYG,NY1,NY1,NY1,NYG,ny0
1885,8,AA,,NYC05,,,Brooklyn Grays,Brooklyn,Grays,BRO,BRO,BR3,BR3,BR3,BRO,br3
1885,58,NL,,PRO02,,,Providence Grays,Providence,Grays,PRO,PRO,PRO,PRO,PRO,PRO,pro
1885,59,NL,,BUF02,,,Buffalo Bisons,Buffalo,Bisons,BUF,BUF,BFN,BFN,BFN,BUF,bfn
1885,65,NL,,DET01,,,Detroit Wolverines,Detroit,Wolverines,DET,DTN,DTN,DTN,DTN,DET,dtn
1885,66,AA,,BAL03,,,Baltimore Orioles,Baltimore,Orioles,BAL,BAL,BL2,BL2,BL2,BAL,bl2
1885,67,AA,,LOU02,,,Louisville Colonels,Louisville,Colonels,LOU,LOU,LS2,LS2,LS2,LOU,ls2
1885,68,AA,,PHI01,,,Philadelphia Athletics,Philadelphia,Athletics,PHA,PHA,PH4,PH4,PH4,PHA,ph4
1885,70,AA,,NYC03,,,New York Metropolitans,New York,Metropolitans,NYM,NYP,NY4,NY4,NY4,NYM,ny4
1885,81,NL,,STL04,,,St. Louis Maroons,St. Louis,Maroons,STL,SLM,SL5,SL5,SL5,STL,sl5
1886,1,NL,,BOS01,,,Boston Beaneaters,Boston,Beaneaters,BSN,BSN,BSN,BSN,BSN,BSN,bsn
1886,2,NL,,CHI06,,,Chicago White Stockings,Chicago,White Stockings,CHI,CHC,CHN,CHN,CHN,CHI,chn
1886,3,AA,,CIN04,,,Cincinnati Red Stockings,Cincinnati,Red Stockings,CIN,CIN,CN2,CN2,CN2,CIN,cn2
1886,4,AA,,PIT04,,,Pittsburgh Alleghenys,Pittsburgh,Alleghenys,PIT,PIT,PT1,PT1,PT1,PIT,pt1
1886,5,AA,,STL03,,,St. Louis Browns,St. Louis,Browns,STL,STL,SL4,SL4,SL4,STL,sl6
1886,6,NL,,PHI04,,,Philadelphia Phillies,Philadelphia,Phillies,PHI,PHI,PHI,PHI,PHI,PHI,phi
1886,7,NL,,NYC03,,,New York Giants,New York,Giants,NYG,NYG,NY1,NY1,NY1,NYG,ny1
1886,8,AA,,NYC05,,,Brooklyn Grays,Brooklyn,Grays,BRO,BRO,BR3,BR3,BR3,BRO,br3
1886,65,NL,,DET01,,,Detroit Wolverines,Detroit,Wolverines,DET,DTN,DTN,DTN,DTN,DET,dtn
1886,66,AA,,BAL03,,,Baltimore Orioles,Baltimore,Orioles,BAL,BAL,BL2,BL2,BL2,BAL,bl2
1886,67,AA,,LOU02,,,Louisville Colonels,Louisville,Colonels,LOU,LOU,LS2,LS2,LS2,LOU,ls2
1886,68,AA,,PHI01,,,Philadelphia Athletics,Philadelphia,Athletics,PHA,PHA,PH4,PH4,PH4,PHA,ph4
1886,70,AA,,SAI01,,,New York Metropolitans,New York,Metropolitans,NYM,NYP,NY4,NY4,NY4,NYM,ny4
1886,81,NL,,STL04,,,St. Louis Maroons,St. Louis,Maroons,STL,SLM,SL5,SL5,SL5,STL,sl5
1886,87,NL,,KAN02,,,Kansas City Cowboys,Kansas City,Cowboys,KCC,KCN,KCN,KCN,KCN,KC,kcn
1886,88,NL,,WAS05,,,Washington Nationals,Washington,Nationals,WAS,WHS,WS8,WS8,WS8,WAS,ws8
1887,1,NL,,BOS01,,,Boston Beaneaters,Boston,Beaneaters,BSN,BSN,BSN,BSN,BSN,BSN,bsn
1887,2,NL,,CHI06,,,Chicago White Stockings,Chicago,White Stockings,CHI,CHC,CHN,CHN,CHN,CHI,chn
1887,3,AA,,CIN04,,,Cincinnati Red Stockings,Cincinnati,Red Stockings,CIN,CIN,CN2,CN2,CN2,CIN,cn2
1887,4,NL,,PIT04,,,Pittsburgh Alleghenys,Pittsburgh,Alleghenys,PIT,PIT,PIT,PIT,PIT,PIT,pit
1887,5,AA,,STL03,,,St. Louis Browns,St. Louis,Browns,STL,STL,SL4,SL4,SL4,STL,sl6
1887,6,NL,,PHI06,,,Philadelphia Phillies,Philadelphia,Phillies,PHI,PHI,PHI,PHI,PHI,PHI,phi
1887,7,NL,,NYC03,,,New York Giants,New York,Giants,NYG,NYG,NY1,NY1,NY1,NYG,ny1
1887,8,AA,,NYC05,,,Brooklyn Grays,Brooklyn,Grays,BRO,BRO,BR3,BR3,BR3,BRO,br3
1887,65,NL,,DET01,,,Detroit Wolverines,Detroit,Wolverines,DET,DTN,DTN,DTN,DTN,DET,dtn
1887,66,AA,,BAL03,,,Baltimore Orioles,Baltimore,Orioles,BAL,BAL,BL2,BL2,BL2,BAL,bl2
1887,67,AA,,LOU02,,,Louisville Colonels,Louisville,Colonels,LOU,LOU,LS2,LS2,LS2,LOU,ls2
1887,68,AA,,PHI01,,,Philadelphia Athletics,Philadelphia,Athletics,PHA,PHA,PH4,PH4,PH4,PHA,ph4
1887,70,AA,,SAI01,,,New York Metropolitans,New York,Metropolitans,NYM,NYP,NY4,NY4,NY4,NYM,ny4
1887,88,NL,,WAS05,,,Washington Nationals,Washington,Nationals,WAS,WHS,WS8,WS8,WS8,WAS,ws8
1887,89,AA,,CLE03,,,Cleveland Blues,Cleveland,Blues,CLE,CLE,CL3,CL3,CL3,CLE,cl3
1887,90,NL,,IND04,,,Indianapolis Hoosiers,Indianapolis,Hoosiers,IND,IND,IN3,IN3,IN3,IND,in3
1888,1,NL,,BOS03,,,Boston Beaneaters,Boston,Beaneaters,BSN,BSN,BSN,BSN,BSN,BSN,bsn
1888,2,NL,,CHI06,,,Chicago White Stockings,Chicago,White Stockings,CHI,CHC,CHN,CHN,CHN,CHI,chn
1888,3,AA,,CIN04,,,Cincinnati Red Stockings,Cincinnati,Red Stockings,CIN,CIN,CN2,CN2,CN2,CIN,cn2
1888,4,NL,,PIT04,,,Pittsburgh Alleghenys,Pittsburgh,Alleghenys,PIT,PIT,PIT,PIT,PIT,PIT,pit
1888,5,AA,,STL03,,,St. Louis Browns,St. Louis,Browns,STL,STL,SL4,SL4,SL4,STL,sl6
1888,6,NL,,PHI06,,,Philadelphia Phillies,Philadelphia,Phillies,PHI,PHI,PHI,PHI,PHI,PHI,phi
1888,7,NL,,NYC03,,,New York Giants,New York,Giants,NYG,NYG,NY1,NY1,NY1,NYG,ny1
1888,8,AA,,NYC05,,,Brooklyn Bridegrooms,Brooklyn,Bridegrooms,BRO,BRO,BR3,BR3,BR3,BRO,br3
